"",".rownames","price_3_nights","neigh_simp","number_of_reviews","reviews_per_month",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid","obs_num"
"93","95",881.84,"Unincorporated Areas",203,2.77,850.48564617028,31.3543538297197,0.0170092993029953,844.805965384865,4.05048604960929e-06,0.0374766435972602,93
"94","96",453,"City of Santa Cruz",31,0.43,1010.39717808845,-557.397178088447,0.00722092952677018,844.384332844067,0.00053277181107103,-0.662942707325644,94
"95","97",1035.86,"City of Santa Cruz",152,2.11,769.866267902704,265.993732097296,0.0121620144493443,844.710529083359,0.000206395727481637,0.317150996418743,95
"96","98",268.78,"City of Santa Cruz",171,2.37,732.042566307633,-463.262566307633,0.0143329879871032,844.513052156256,0.000741061986846567,-0.552967537000898,96
"97","99",906,"City of Santa Cruz",147,2.11,780.798681287756,125.201318712244,0.0116053015297904,844.785886345536,4.35850197235565e-05,0.149238624590377,97
"98","100",1842.2,"City of Santa Cruz",17,0.27,1038.71903140159,803.480968598409,0.0075547424180797,843.927871219531,0.00115899498021462,0.955784211831743,98
"99","101",1754.62,"Unincorporated Areas",99,1.38,1057.99498964591,696.625010354088,0.00635470361554013,844.147118033948,0.00073106246909302,0.828172700025171,99
"100","102",386.56,"City of Santa Cruz",232,3.32,612.257491489695,-225.697491489695,0.0238936613727045,844.73679672589,0.000298996241389679,-0.270717109248312,100
"101","103",1434.5,"Unincorporated Areas",19,0.27,1217.03433116205,217.465668837953,0.00591148811234006,844.743031572047,6.62143235661879e-05,0.258473316734402,101
"102","104",211.4,"City of Santa Cruz",1,0.01,1069.98328496563,-858.58328496563,0.00837737215520606,843.802203333822,0.00146995363645943,-1.02175495713557,102
"103","105",1078.14,"Unincorporated Areas",16,0.33,1224.45211825495,-146.312118254953,0.00571337314542775,844.77822337278,2.89570165784326e-05,-0.1738849669382,103
"104","106",839.56,"Unincorporated Areas",32,0.45,1191.18507354654,-351.625073546538,0.00552873395792791,844.63930148141,0.000161779955608926,-0.417850816044321,104
"105","107",679.5,"Unincorporated Areas",81,1.15,1094.06137809491,-414.56137809491,0.00562177076681639,844.573742872934,0.000228702769087014,-0.492663711093009,105
"106","108",848.62,"Unincorporated Areas",44,0.9,1171.38482438648,-322.76482438648,0.00470610701216447,844.665869168192,0.00011583914477031,-0.38339643201599,106
"107","109",2400.9,"City of Capitola",1,0.02,1270.42341858693,1130.47658141307,0.0182292819123563,843.046540771021,0.00565713285270781,1.35205410455671,107
"108","110",283.88,"Unincorporated Areas",138,2.01,981.734725392199,-697.854725392199,0.00886093091757255,844.143108272793,0.00102816788086562,-0.830682887843162,108
"109","111",1108.34,"City of Capitola",278,3.97,721.275038628527,387.064961371472,0.0464405662956194,844.594986103878,0.00179099146868185,0.469729151926307,109
"110","112",1908.64,"Unincorporated Areas",10,0.2,1235.71127968295,672.928720317048,0.00610117546034194,844.191441879654,0.000654622782041364,0.799899663339292,110
"111","113",1594.56,"Unincorporated Areas",19,0.38,1218.60795277549,375.952047224515,0.00558069860313251,844.61523642615,0.000186697375148238,0.446771251566049,111
"112","114",2956.58,"Unincorporated Areas",3,0.1,1249.5860933189,1706.9939066811,0.00645157164724629,840.835078025982,0.00445733433847344,2.0294342652342,112
"113","115",2041.52,"Unincorporated Areas",3,0.05,1248.87081076734,792.649189232664,0.00661989912668643,843.952240913937,0.000986520979075327,0.94245544952839,113
"114","116",1685.16,"City of Santa Cruz",8,0.18,1057.10986690187,628.050133098129,0.00784520995316223,844.269931753144,0.000735797239030385,0.747209067585642,114
